,year,home_team,month,day,attend,day_of_week,opponent,temp,skies,day_night,cap,shirt,fireworks,bobblehead,hum>average,attend_inc,attend_thousands
2256,2012,San Francisco Giants,SEP,22,,Saturday,San Diego Padres,63,Cloudy,Night,NO,NO,NO,NO,NO,,
2257,2012,San Francisco Giants,SEP,23,,Sunday,San Diego Padres,66,Cloudy,Day,NO,NO,NO,NO,YES,,
2258,2012,San Francisco Giants,SEP,25,,Tuesday,Arizona Diamondbacks,54,Cloudy,Night,NO,NO,NO,NO,YES,,
2259,2012,San Francisco Giants,SEP,26,,Wednesday,Arizona Diamondbacks,59,Clear,Night,NO,NO,NO,NO,YES,,
2260,2012,San Francisco Giants,SEP,27,,Thursday,Arizona Diamondbacks,66,Cloudy,Day,NO,NO,NO,NO,YES,,
2334,2012,St. Louis Cardinals,SEP,19,,Wednesday,Houston Astros,72,Cloudy,Night,NO,NO,NO,NO,YES,,
2335,2012,St. Louis Cardinals,SEP,20,,Thursday,Houston Astros,76,Cloudy,Day,NO,NO,NO,NO,YES,,
2336,2012,St. Louis Cardinals,SEP,28,,Friday,Washington Nationals,66,Cloudy,Night,NO,NO,NO,NO,NO,,
2337,2012,St. Louis Cardinals,SEP,29,,Saturday,Washington Nationals,75,Clear,Night,NO,NO,NO,NO,YES,,
2338,2012,St. Louis Cardinals,SEP,30,,Sunday,Washington Nationals,70,Cloudy,Day,NO,NO,NO,NO,YES,,
2339,2012,St. Louis Cardinals,OCT,1,,Monday,Cincinnati Reds,65,Cloudy,Night,NO,NO,NO,NO,NO,,
2340,2012,St. Louis Cardinals,OCT,2,,Tuesday,Cincinnati Reds,64,Cloudy,Night,NO,NO,NO,NO,YES,,
2341,2012,St. Louis Cardinals,OCT,3,,Wednesday,Cincinnati Reds,68,Cloudy,Night,NO,NO,NO,NO,NO,,
2413,2012,Washington Nationals,SEP,20,,Thursday,Los Angeles Dodgers,68,Clear,Night,NO,NO,NO,NO,NO,,
2414,2012,Washington Nationals,SEP,21,,Friday,Milwaukee Brewers,77,Clear,Night,NO,NO,NO,NO,YES,,
2415,2012,Washington Nationals,SEP,22,,Saturday,Milwaukee Brewers,78,Clear,Day,NO,NO,NO,NO,YES,,
2416,2012,Washington Nationals,SEP,23,,Sunday,Milwaukee Brewers,67,Cloudy,Day,NO,NO,NO,NO,YES,,
2417,2012,Washington Nationals,SEP,24,,Monday,Milwaukee Brewers,66,Cloudy,Day,NO,NO,NO,NO,YES,,
2418,2012,Washington Nationals,OCT,1,,Monday,Philadelphia Phillies,64,Cloudy,Night,NO,NO,NO,NO,YES,,
2419,2012,Washington Nationals,OCT,2,,Tuesday,Philadelphia Phillies,70,Cloudy,Night,NO,NO,NO,NO,NO,,
2420,2012,Washington Nationals,OCT,3,,Wednesday,Philadelphia Phillies,76,Cloudy,Day,NO,NO,NO,NO,,,
